TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Iowa,B10,2016,R32,7,33,22,0.666666667,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,0.317,0.65,0.572,0.619,0.38,0.524,0.905,0.555,0.46,0.857,0.19,0.953,0.238,0.27,0.698,0.842,0.682,0.523
Butler,BE,2016,R32,9,33,22,0.666666667,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,0.317,0.777,0.35,0.65,0.65,0.159,0.953,0.507,0.539,0.333,0.65,0.318,0.396,0.191,0.92,0.461,0.619,0.523
Providence,BE,2016,R32,9,35,24,0.685714286,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,0.412,0.285,0.651,0.365,0.047,0.286,0.731,0.825,0.301,0.746,0.46,0.826,0.158,0.112,0.015,0.762,0.65,0.666
Xavier,BE,2016,R32,2,34,28,0.823529412,117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,0.92,0.73,0.747,0.825,0.428,0.54,0.461,0.634,0.857,0.206,0.841,0.445,0.365,0.302,0.539,0.905,0.952,0.92
Hawaii,BW,2016,R32,13,32,26,0.8125,106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,0.8,0.888,0.222,0.699,0.301,0.539,0.889,0.286,0.714,0.301,0.253,0.952,0.143,0.873,0.747,0.047,0.985,0.873,0.444
Middle Tennessee,CUSA,2016,R32,15,33,23,0.696969697,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,0.476,0.111,0.207,0.126,0.507,0.254,0.556,0.65,0.142,0.174,0.317,0.064,0.142,0.381,0.904,0.302,0.507,0.158
Yale,Ivy,2016,R32,12,29,22,0.75862069,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,0.73,0.317,0.635,0.396,0.571,0.747,0.032,0.349,0.952,0.047,0.841,0.493,0.619,0.683,0.46,0.651,0.206,0.285
Northern Iowa,MVC,2016,R32,11,35,22,0.628571429,109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,0.19,0.365,0.477,0.333,0.682,0.366,0.858,0.46,0,0.317,0.253,0.985,0.587,0.239,0.666,0.747,0.015,0.174
Wichita St.,MVC,2016,R32,11,34,25,0.735294118,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,0.539,0.412,1,0.873,0.111,0.921,0.921,0.968,0.412,0.015,0.492,0.048,0.301,0.937,0.063,0.651,0.206,0.333
Utah,P12,2016,R32,3,35,26,0.742857143,115.8,97.3,0.8807,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,5.6,0.603,0.698,0.429,0.571,0.888,0.524,0.254,0.079,0.222,0.412,0.555,1,0.936,0.778,0.539,0.016,0.238,0.841
Arkansas Little Rock,SB,2016,R32,12,33,28,0.848484848,107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,0.968,0.253,0.477,0.269,0.539,0.81,0.794,0.873,0.079,0.571,0.079,0.207,0.269,0.635,0.825,0.937,0.031,0.555
Kentucky,SEC,2016,R32,4,36,27,0.75,123.2,95.1,0.9517,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5,0.666,0.984,0.683,0.936,0.698,0.953,0.699,0.38,0.936,0.888,0.539,0.096,0.809,0.921,0.603,0.683,0.428,0.793
Stephen F. Austin,Slnd,2016,R32,14,30,24,0.8,110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,0.857,0.412,0.508,0.428,0.857,0.239,0.381,1,0.682,0.809,0.285,0.143,0.904,0.127,0.634,0.62,0.428,0.19
Dayton,A10,2016,R64,7,33,25,0.757575758,105.5,92.6,0.8184,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,2.4,0.714,0.158,0.889,0.349,0.476,0.699,0.191,0.38,0.142,0.031,0.777,0.54,0.65,0.858,0.238,0.239,0.507,0.619
Pittsburgh,ACC,2016,R64,10,32,20,0.625,113.9,96.9,0.8659,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35,35.4,66.3,1.8,0.158,0.619,0.445,0.523,0.317,0.096,0.429,0.253,0.888,0.333,0.396,0.556,0.476,0.334,0.38,0.207,0.126,0.507
Stony Brook,AE,2016,R64,13,31,24,0.774193548,104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,0.793,0.126,0.27,0.158,0.571,0.588,0.477,0.444,0.777,0.206,0.111,0.842,0.492,0.604,0.666,0.381,0.365,0.222
Cincinnati,Amer,2016,R64,9,33,22,0.666666667,110,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,66,0.3,0.317,0.396,0.826,0.539,0.126,0.826,0.683,0.793,0.873,0.793,0.222,0.889,0.126,1,0.349,0.159,0.111,0.365
Temple,Amer,2016,R64,10,33,21,0.636363636,106.3,97.4,0.7318,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,-0.1,0.238,0.19,0.413,0.238,0.015,0.778,1,0.174,0.19,0.619,0.015,0.715,0.015,0.524,0.142,0.874,0.174,0.285
Florida Gulf Coast,ASun,2016,R64,16,31,17,0.548387097,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,-8.4,0.031,0.063,0.096,0.047,0.444,0.572,0.493,0.126,0.412,0.333,0.46,0.381,0.65,0.35,0.206,0.874,0.396,0.031
Michigan,B10,2016,R64,11,35,22,0.628571429,113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,66.3,0.8,0.19,0.587,0.239,0.38,0.825,0.048,0.953,0.365,0.031,0.253,0.031,0.889,0.73,0.048,0.793,0.302,0.126,0.444
Michigan St.,B10,2016,R64,2,35,29,0.828571429,122.5,96,0.9428,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,67.6,7.2,0.952,0.952,0.556,0.92,0.968,1,0.413,0.031,0.904,0.047,0.063,0.397,0.619,0.969,1,0.921,0.333,0.888
Purdue,B10,2016,R64,5,35,26,0.742857143,117.2,93.4,0.9316,53.6,44.3,17.7,13.7,35,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,4.4,0.603,0.746,0.858,0.857,0.714,0.985,0.381,0,0.825,0,0.349,0.794,0.793,0.889,0.619,0.826,0.571,0.777
Baylor,B12,2016,R64,5,33,21,0.636363636,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,0.238,0.841,0.27,0.666,0.476,0.064,0.191,0.714,0.968,0.46,0.619,0.175,0.365,0.191,0.698,0.048,0.317,0.714
Texas,B12,2016,R64,6,33,20,0.606060606,112.2,95.6,0.8627,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,48.5,45.8,34.1,34.5,66.3,3.2,0.095,0.523,0.635,0.507,0.158,0.572,0.826,0.46,0.333,0.904,0.666,0.191,0.19,0.604,0.174,0.318,0.126,0.634
Texas Tech,B12,2016,R64,8,32,19,0.59375,113.1,98.9,0.8227,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1.3,0.079,0.571,0.302,0.412,0.269,0.175,0.334,0.603,0.38,0.968,0.904,0.524,0.301,0.429,0.301,0.191,0.285,0.492
West Virginia,B12,2016,R64,3,35,26,0.742857143,114.8,90.4,0.9396,49.8,48.4,20,25,42,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,0.603,0.666,0.985,0.904,0.206,0.413,0.016,0.984,1,0.285,0.984,0,0.46,0.397,0.079,0.588,0.809,0.904
Seton Hall,BE,2016,R64,6,34,25,0.735294118,110.8,91.4,0.9014,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,5.3,0.539,0.476,0.921,0.698,0.206,0.842,0.08,0.666,0.761,0.825,0.714,0.413,0.253,0.826,0.317,0.794,0.761,0.825
Weber St.,BSky,2016,R64,15,32,23,0.71875,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,0.523,0.047,0.207,0.079,0.825,0.635,0.064,0.111,0.047,0.158,0.968,0.794,0.92,0.715,0.428,0.191,0.349,0.111
UNC Asheville,BSth,2016,R64,15,32,20,0.625,101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,50.2,52.1,32.1,29.6,71,-6.3,0.158,0.031,0.239,0.063,0.174,0.286,0.191,0.952,0.396,0.539,0.888,0.508,0.444,0.032,0.015,1,0.841,0.047
UNC Wilmington,CAA,2016,R64,13,31,23,0.741935484,109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51,46.1,34.4,33.9,71.3,-0.7,0.587,0.349,0.143,0.222,0.333,0.604,0.747,0.746,0.492,0.714,0.38,0.016,0.523,0.556,0.238,0.429,0.857,0.253
Green Bay,Horz,2016,R64,14,34,21,0.617647059,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,77.3,-4.5,0.111,0.222,0.048,0.095,0.206,0.032,0.762,0.904,0.349,0.904,0.904,0.318,0.19,0.096,0.38,0.08,1,0.095
Iona,MAAC,2016,R64,13,33,22,0.666666667,109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,72.6,-3.6,0.317,0.317,0.112,0.19,0.761,0.35,0.413,0.619,0.222,0.841,0.158,0.286,0.714,0.572,0.65,0.127,0.968,0.126
Buffalo,MAC,2016,R64,14,34,19,0.558823529,105.1,102.4,0.5746,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,72.9,-5.8,0.047,0.142,0.096,0.111,0.174,0.143,0.127,0.317,0.444,0.444,0.809,0.223,0.285,0.254,0.142,0.366,0.984,0.079
Hampton,MEAC,2016,R64,16,31,20,0.64516129,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,0.285,0.015,0.016,0.015,0,0.381,0.143,0.206,0.746,0.301,0.793,0.35,0.111,0.413,0,0.461,0.904,0.047
Fresno St.,MWC,2016,R64,14,33,23,0.696969697,106.3,100.1,0.6646,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,69.8,-0.9,0.476,0.19,0.175,0.174,0.063,0.35,0.889,0.873,0.269,0.619,0.523,0.032,0.063,0.334,0.238,0.604,0.682,0.238
Austin Peay,OVC,2016,R64,16,34,16,0.470588235,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30,47,31.3,51,53.3,34.7,36.4,70.5,-11.3,0.015,0.079,0,0.031,0.38,0,0,0.507,0.46,0.682,1,0.604,0.523,0,0.317,0.064,0.777,0.015
Arizona,P12,2016,R64,6,34,25,0.735294118,116.1,95.7,0.9022,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,0.539,0.714,0.604,0.714,0.714,0.794,0.254,0.142,0.825,0.095,0.936,0.683,0.682,0.635,0.809,0.81,0.603,0.666
California,P12,2016,R64,4,34,23,0.676470588,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,0.396,0.539,0.874,0.682,0.571,0.985,0.381,0.015,0.587,0.126,0.841,0.239,0.571,0.985,0.539,0.302,0.555,0.587
Colorado,P12,2016,R64,8,33,21,0.636363636,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,0.238,0.269,0.667,0.317,0.063,0.715,0.127,0.095,0.777,0.079,0.73,0.35,0,0.826,0.857,0.223,0.714,0.428
Oregon St.,P12,2016,R64,7,31,18,0.580645161,109.9,98.1,0.788,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,46.9,50,37.4,32.4,68,0.3,0.063,0.38,0.381,0.285,0.206,0.239,0.604,0.666,0.174,0.952,0.428,0.159,0.047,0.096,0.698,0.747,0.396,0.365
USC,P12,2016,R64,8,34,21,0.617647059,113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,0.111,0.603,0.318,0.46,0.571,0.667,0.604,0.206,0.492,0.873,0.333,0.747,0.333,0.477,0.873,0.715,0.92,0.333
Holy Cross,Pat,2016,R64,16,35,15,0.428571429,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,0,0,0.032,0,0.031,0.016,0.572,0.698,0.015,0.603,0.396,0.477,0.079,0.016,0.095,0.159,0.063,0
Chattanooga,SC,2016,R64,12,33,27,0.818181818,105.6,100.8,0.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,0.904,0.174,0.159,0.142,0.507,0.08,0.302,0.761,0.571,0.476,0.809,0.62,0.492,0.064,0.444,0.508,0.301,0.396
South Dakota St.,Sum,2016,R64,12,32,24,0.75,110.5,101.1,0.737,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,-1.2,0.666,0.444,0.127,0.253,0.38,0.524,0.556,0.269,0.587,0.142,0.682,0.143,0.349,0.445,0.492,0.572,0.619,0.19
Cal St. Bakersfield,WAC,2016,R64,15,30,21,0.7,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,0.507,0.079,0.604,0.206,0.126,0.858,0.254,0.936,0.714,0.619,0.571,0.08,0.19,0.905,0.222,0.54,0.476,0.142
Duke,ACC,2016,S16,4,36,25,0.694444444,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,0.428,0.904,0.302,0.73,0.746,0.239,0.985,0.285,0.65,0.984,0.746,0.921,0.523,0.239,0.841,0.397,0.539,0.761
Miami FL,ACC,2016,S16,3,35,27,0.771428571,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,0.746,0.857,0.508,0.809,0.793,0.429,0.62,0.285,0.285,0.571,0.761,0.699,0.841,0.461,0.761,0.334,0.269,0.873
Indiana,B10,2016,S16,5,35,27,0.771428571,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,0.746,0.92,0.366,0.793,1,0.143,0.064,0.587,0.92,0.507,0.238,0.651,0.968,0.207,0.968,0.366,0.666,0.634
Maryland,B10,2016,S16,5,35,26,0.742857143,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67.9,4,0.603,0.682,0.524,0.603,0.904,0.762,0.096,0.19,0.19,0.666,0.444,0.889,0.952,0.683,0.507,0.778,0.38,0.746
Wisconsin,B10,2016,S16,7,35,22,0.628571429,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,0.19,0.301,0.826,0.476,0.095,0.477,0.556,0.507,0.634,0.38,0.571,0.445,0.031,0.747,0.365,0,0.047,0.396
Iowa St.,B12,2016,S16,3,35,23,0.657142857,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,0.301,0.936,0.35,0.761,0.984,0.143,0.778,0.238,0.063,0.714,0,0.969,0.984,0.143,0.873,0.524,0.936,0.73
Texas A&M,SEC,2016,S16,3,37,28,0.756756757,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,0.698,0.555,0.905,0.746,0.333,0.635,0.461,0.857,0.777,0.507,0.603,0.572,0.587,0.651,0.174,0.572,0.476,0.809
Gonzaga,WCC,2016,S16,11,35,27,0.771428571,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,0.746,0.761,0.731,0.841,0.904,0.905,0.556,0.063,0.492,0.206,0.301,0.794,0.888,0.794,0.777,0.969,0.428,0.555
Gonzaga,WCC,2017,2ND,1,39,37,0.948717949,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,1,0.761,1,1,0.888,1,0.747,0.158,0.365,0.174,0.698,0.842,0.92,1,0.682,1,0.793,0.888
North Carolina,ACC,2017,Champions,1,39,33,0.846153846,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,0.793,0.888,0.905,0.984,0.253,0.524,0.747,0.428,1,0.095,0.365,0.588,0.38,0.604,0.269,0.445,0.936,0.936
Kansas,B12,2017,E8,1,36,31,0.861111111,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,0.857,0.904,0.651,0.888,0.873,0.524,0.397,0.428,0.793,0.666,0.46,0.667,0.73,0.81,0.952,0.175,0.761,0.984
Xavier,BE,2017,E8,11,38,24,0.631578947,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,0.174,0.619,0.381,0.476,0.269,0.08,0.239,0.238,0.825,0.126,0.904,0.461,0.587,0.016,0.158,0.508,0.365,0.396
Florida,SEC,2017,E8,4,36,27,0.75,116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,0.555,0.65,0.969,0.952,0.222,0.874,0.588,0.904,0.619,0.603,0.793,0.381,0.238,0.683,0.365,0.921,0.666,0.793
Kentucky,SEC,2017,E8,2,38,32,0.842105263,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,0.777,0.809,0.921,0.936,0.476,0.731,0.826,0.523,0.73,0.349,0.873,0.413,0.682,0.35,0.238,0.905,0.984,0.968
Oregon,P12,2017,F4,3,38,33,0.868421053,117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,0.904,0.761,0.762,0.777,0.825,0.794,0.493,0.555,0.634,0.603,0.412,0.905,0.809,0.62,0.666,0.794,0.365,0.777
South Carolina,SEC,2017,F4,7,36,26,0.722222222,108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,0.365,0.222,0.953,0.619,0,0.905,0.239,0.984,0.777,0.857,0.793,0.032,0,0.778,0.063,0.905,0.523,0.412
Rhode Island,A10,2017,R32,11,35,25,0.714285714,111.1,94.1,0.8717,50.8,45,16.4,19.4,32.8,29.7,39.2,45,51.2,45.4,33.3,29.5,67.7,0.4,0.349,0.349,0.699,0.492,0.111,0.969,0.683,0.603,0.666,0.666,0.714,0.016,0.476,0.778,0.047,0.969,0.301,0.269
Duke,ACC,2017,R32,2,37,28,0.756756757,122.1,95.6,0.9436,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,69.7,8.6,0.587,0.936,0.556,0.857,0.746,0.747,0.699,0.19,0.571,0.698,0.73,0.604,0.714,0.286,0.619,0.985,0.571,0.952
Florida St.,ACC,2017,R32,3,35,26,0.742857143,115.4,95.2,0.9014,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,72.8,5.9,0.507,0.587,0.62,0.587,0.603,0.588,0.683,0.619,0.746,0.698,0.65,0.175,0.793,0.778,0.206,0.254,0.936,0.746
Louisville,ACC,2017,R32,2,34,25,0.735294118,117.6,91.5,0.9469,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,69.4,6.9,0.46,0.698,0.905,0.873,0.19,0.889,0.794,0.682,0.904,0.46,0.349,0.127,0.269,0.874,0.269,0.762,0.476,0.873
Notre Dame,ACC,2017,R32,5,36,26,0.722222222,119.3,96.4,0.9205,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,68.3,5.9,0.365,0.841,0.477,0.666,0.571,0.318,0.985,0.476,0.238,0.825,0.095,0.858,0.333,0.366,0.73,0.493,0.333,0.746
Virginia,ACC,2017,R32,5,34,23,0.676470588,111.8,86.9,0.9477,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,49.7,45.1,38.5,31.7,60.3,5,0.269,0.428,0.985,0.904,0.349,0.842,0.858,0.873,0.253,0.063,0.015,0.397,0.158,0.842,0.761,0.747,0,0.666
Cincinnati,Amer,2017,R32,6,36,30,0.833333333,115.2,92.1,0.9292,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,65.4,5.6,0.73,0.571,0.858,0.746,0.285,0.937,0.889,0.825,0.841,0.571,0.222,0.715,0.603,0.985,0.158,0.334,0.142,0.714
Michigan St.,B10,2017,R32,9,35,20,0.571428571,111.6,94.9,0.8661,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,68.1,0.4,0.047,0.396,0.635,0.444,0.65,0.778,0.048,0.031,0.301,0.285,0.301,0.318,0.682,0.921,0.571,0.302,0.317,0.269
Northwestern,B10,2017,R32,8,36,24,0.666666667,111.2,95.2,0.8564,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,48.8,44,34.2,33.3,66.9,2,0.238,0.365,0.62,0.428,0.079,0.842,0.794,0.301,0.46,0.809,0.142,0.223,0.079,0.937,0.126,0.54,0.206,0.46
Iowa St.,B12,2017,R32,5,35,24,0.685714286,120,96.2,0.9265,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,69.6,6.5,0.317,0.857,0.493,0.73,0.761,0.35,0.969,0.619,0.111,0.857,0.047,0.921,0.555,0.413,0.873,0.302,0.523,0.841
Villanova,BE,2017,R32,1,36,32,0.888888889,122.2,92.5,0.9611,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,59.2,49.1,36.9,31.1,65.6,11.1,0.968,0.952,0.826,0.968,0.936,0.524,0.493,0.793,0.412,0.365,0.444,1,1,0.254,0.523,0.81,0.158,1
Middle Tennessee,CUSA,2017,R32,12,35,31,0.885714286,111.2,96.6,0.8339,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,65.8,2,0.936,0.365,0.461,0.365,0.682,0.588,0.858,0.777,0.38,0.015,0.111,0.159,0.73,0.461,0.523,0.62,0.174,0.46
Wichita St.,MVC,2017,R32,10,35,31,0.885714286,117.2,92.2,0.9403,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42,40.2,31.2,70,4.1,0.936,0.682,0.842,0.825,0.698,0.985,0.747,0.555,0.809,0.031,0.825,0.302,0.301,0.969,0.888,0.794,0.587,0.634
USC,P12,2017,R32,11,36,26,0.722222222,113.3,100.6,0.7966,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,70.1,1.3,0.365,0.476,0.286,0.269,0.333,0.175,0.826,0.301,0.507,0.841,0.539,0.969,0.38,0.445,0.412,0.096,0.634,0.333
Arkansas,SEC,2017,R32,8,36,26,0.722222222,114.9,99.8,0.8339,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,3.9,0.365,0.555,0.302,0.365,0.19,0.604,0.635,0.412,0.603,0.968,0.619,0.112,0.206,0.524,0.476,0.572,0.73,0.603
Saint Mary's,WCC,2017,R32,7,34,29,0.852941176,118,93.8,0.9334,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30,61.2,3.9,0.809,0.793,0.762,0.793,0.984,0.921,0.413,0,0.682,0,0.063,0.874,0.968,0.778,0.825,0.953,0.015,0.603
Dayton,A10,2017,R64,7,31,24,0.774193548,111.6,97,0.8333,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51,47.2,38.4,32.3,69.6,1.5,0.65,0.396,0.429,0.349,0.571,0.651,0.588,0.888,0.095,0.301,0.984,0.286,0.38,0.445,0.73,0.683,0.523,0.365
VCU,A10,2017,R64,10,35,26,0.742857143,108.1,95.9,0.7988,51,47.5,17.8,21,31.3,27.5,36.4,40.9,51.5,46,33.1,33.8,70.1,1.3,0.507,0.174,0.508,0.285,0.126,0.731,0.381,0.904,0.555,0.333,0.507,0.064,0.507,0.635,0.031,0.493,0.634,0.333
Miami FL,ACC,2017,R64,8,33,21,0.636363636,110.8,93.1,0.8804,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33,64.6,2.9,0.19,0.333,0.794,0.507,0.126,0.667,0.112,0.365,0.714,0.412,0.365,0.731,0.174,0.556,0.301,0.604,0.079,0.507
Virginia Tech,ACC,2017,R64,9,33,22,0.666666667,118.4,102.5,0.8401,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49,40.3,36.3,70,3.3,0.238,0.825,0.175,0.396,0.904,0.096,0.445,0.095,0.015,0.793,0.873,0.794,0.841,0.27,0.904,0.143,0.587,0.523
Vermont,AE,2017,R64,13,34,29,0.852941176,110,98.2,0.7864,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,55.5,46.9,36.7,34.9,65.8,0.7,0.809,0.317,0.35,0.238,0.793,0.445,0.54,0.682,0.349,0.269,0.365,0.889,0.888,0.493,0.507,0.254,0.174,0.317
SMU,Amer,2017,R64,6,35,30,0.857142857,120,94.1,0.9426,54.6,46,16.9,18.3,37.2,26.4,36,24.6,51,44.1,40.6,32.1,64.8,6.4,0.841,0.857,0.699,0.841,0.714,0.858,0.588,0.365,0.92,0.206,0.46,0.953,0.38,0.921,0.968,0.731,0.095,0.793
